id,name,short_description,long_description,address,point_of_contact,phone_1,phone_2,phone_3,email_1,email_2,email_3,website,hours,extra_info,categories,lat,lon
00000021,Child Care Information Service (CCIS),Child care referrals for all working parents. Call for more information.,,"2465 E Walnut St, Pasadena, CA 91107",Natalie Duong,(626) 449-8221,,,,,,www.optionscc.org,,,child care,34.1485831,-118.0995133
00000022,Day One,Preventative services for substance abuse,,"175 N Euclid Ave, Pasadena, CA 91101",Christy Basani,(626) 229-9750,,,,,,www.dayonepasadena.com,,,substance abuse prevention,34.1485829,-118.1429813
00000023,Give The Streets Back!,Community youth intervention program,,"131 W Mariposa St, Altadena, CA 91001",,(626) 791-1855,,,,,,www.givethestreetsback.org,,,after school programs,34.193111,-118.151071
00000024,Mustangs on the Move,After-school programs for high school-age youth,,"1905 Lincoln Ave, Pasadena, CA 91103",,(626) 396-5610,,,,,,www.flintridge.org,,,after school programs,34.1781703,-118.1604685
00000025,Neighbors Acting Together Helping All (NATHA),After-school homework assistance for Pre-k through 12th.,,"2023 N Lincoln Ave, Altadena, CA 91001",Patricia Tucker,(626) 794-5889,,,,,,www.natharebuilds.org,,,tutoring,34.1816315,-118.1597161
00000026,Options Child Development Centers,"Subsidized child care, objective referral information and the promotion of high quality child care",,"885 S Village Oaks Dr #12, Covina, CA 91724",Denise McCullough,(626) 858-0527,,,,,,www.optionscc.org,,,child care,34.0735219,-117.8627562
00000027,Outward Bound Adventures (OBA),Fun and challenging outdoor environmental education programs,,"1905 Lincoln Ave G227, Pasadena, CA 91103",,(626) 564-0844,,,,,,www.obainc.org,,,after school programs,34.1781703,-118.1604685
00000028,Pasadena Family YMCA,Before and after school programs for children ages 5-13,,"2828 E Foothill Blvd #203, Pasadena, CA 9110",Camille Rillorta,(626) 432-5880,,,,,,www.ymcala.org/pas,,,after school programs,34.1496003,-118.0921776
00000029,PasadenaLEARNs After School Program,After School program,,"351 S Hudson Ave #207, Pasadena, CA 91101",Maria Toliver,(626) 396-3614,,,LEARNs@pusd.us,,,,,,after school programs,34.1397946,-118.1345051
00000030,Pasadena Unified School District-Child Development Program,Social and emotional development as well as pre-academic skills.,,"2046 Allen Ave, Altadena, CA 91001",Lorraine Camarena,(626) 396-5900,,,,,,www.pusd.us,,,"tutoring,mentoring",34.1811331,-118.1113816
00000031,Center For Community & Family Services,"Early childhood development, housing, nutrition and job training. ",,"2650 E Foothill Blvd, Pasadena, CA 91107",,(888) 412-8397,(310) 217-2935,,,,,,,,"social services,family planning,housing,employment services",34.1496111,-118.0957186
00000032,Rosemary Children's Services,"Residential, Foster Care , and Mental health services for children",,"36 S Kinneloa Ave #200, Pasadena, CA 91107",,(626) 844-3033,,,,,,,,,"foster care,mental health",34.145448,-118.086609
00000033,Hathaway-Sycamores,Child & Family Wrap-Around Services,,"210 S De Lacey Ave #110, Pasadena, CA 91105",,(626) 395-7100,,,,,,,,,"social services,family planning",34.1420366,-118.1516944
00000034,Foothill Unity Center,"Food, temporary shelter, case management, transportation, referrals and a variety of health services for low-income and homeless people",,"191 N Oak Ave, Pasadena, CA 91107",,(626) 584-7420,,,,,,,,,"free food,homeless shelters,family shelters,medical health",34.1495915,-118.107847
00000035,Pasadena Alumni Support Center (PASC),Transition resources for youth ages 14 to 24,,"1110 E Green St, Pasadena, CA 91106",,(626) 356-5350,,,,,,,,,"foster care,tutoring,mentoring",34.144365,-118.1273978
00000036,YWCA Pasadena-Foothill Valley,Programs for women and girls’ in the community.,,"1015 N Lake Ave #100, Pasadena, CA 91104",Camelia Joseph,(626) 296-8433,,,,,,,,,"after school programs,community programs",34.1634041,-118.1329214
00000037,Human Relations Commission,Provides assistance to individuals and groups in bettering relations among people.,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",William Syms,(626) 744-7295,,,wsyms@cityofpasadena.net,,,,,,community programs,34.1635931,-118.1501538
00000038,Neighborhood Connections,Neighborhood resourcing and organizing.,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",William Syms,(626) 744-7295,,,wsyms@cityofpasadena.net,,,,,,community programs,34.1635931,-118.1501538
00000039,Victory Park Community Center,"Community programming, resourcing and services.",,"2575 Paloma St, Pasadena, CA 91107",Kenny James,(626) 744-7500,,,kjames@cityofpasadena.net,,,,,,community programs,34.1593453,-118.095827
00000040,Villa Parke Community Center,"Community programming, resourcing and services.",,"363 E Villa St, Pasadena, CA 91101",Rozanne Adanto,(626) 744-6530,,,radanto@cityofpasadena.net,,,,,,community programs,34.154688,-118.1428055
00000041,Accessibility and Disability Commission,Provide advice and recommendations that help to improve the accessibility of the City facilities and services to people with disabilities,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",Robert Gorski,(626) 744-4782,,,rgorski@cityofpasadena.net,,,,,,"community programs,disability services",34.1635931,-118.1501538
00000042,Adaptive Recreation – City of Pasadena,Recreation programs provided for adults with disabilities,,"2575 Paloma St, Pasadena, CA 91107",Jackie Scott,(626) 744-7257,,,jackiescott@cityofpasadena.net,,,,,,"community programs,disability services",34.1593453,-118.095827
00000043,California Department of Rehabilitation,Counseling and vocational services to persons with disabilities,,"150 S Los Robles Ave # 300, Pasadena, CA 91101",,(626) 304-8300,,,,,,www.dor.ca.gov,,,"disabled services,employment services",34.1433355,-118.1407219
00000044,Eastern Los Angeles Regional Center,Community-based services for California residents with developmental disabilities,,"1000 S Fremont Ave, Alhambra, CA 91803",,(626) 299-4700,,,,,,www.elarc.org,,,"community programs,disability services",34.0818285,-118.1500496
00000045,Foothill Vocational Opportunities,"Vocational training, job placement for disabled adults",,"789 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 449-0218,,,,,,,,,"disabled services,employment services",34.1594097,-118.1510725
00000046,Frank D. Lanterman Regional Center,Connects individuals with disabilities and their family with community and services,,"3303 Wilshire Blvd # 700, Los Angeles, CA 90010",,(213) 383-1300,,,,,,www.lanterman.org,,,"social services,disability services",34.0626223,-118.2945124
00000047,L.A. County Department of Public Social Services,Provides temporary financial assistance and employment focused services to families. Call for details.,,"955 N Lake Ave, Pasadena, CA 91104",,(626) 791-6333,,,,,,www.ladpss.org,,,"financial aid,employment services",34.1623786,-118.1328372
00000048,MERCI,Services to adults with developmental disabilities,,"525 N Chandler Ave, Monterey Park, CA 91754",,(626) 289-8817,,,,,,www.merci.org,,,disabled services,34.0682339,-118.13275
00000049,Families In Transition,homeless/transitional program,,"3500 E Colorado Blvd, Pasadena, CA 91107",,(626) 304-4815,,,,,,,,,"family shelters,employment services,social services",34.1456628,-118.0781453
00000050,HOMELESS OUTREACH (H.O.P.E.),"Compassionate mental health and law enforcement emergency response to those in need of mental health, housing, and related social services",,"207 Garfield Ave, Pasadena, CA 91101",,(626) 744-7054,,,,,,,,,"urgent care,police,mental health,social services",34.1491349,-118.1448262
00000051,City of Pasadena Human Services & Recreation Dept.,Programs and activities which serve people of all ages and abilities,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-4386,,,,,,,,,community programs,34.1635931,-118.1501538
00000052,Villa Esperanza Services,Serves children and adults with special needs,,"2060 E Villa St, Pasadena, CA 91107",,(626) 449-2919,,,,,,www.villaesperanzaservices.org,,,disabled services,34.1541678,-118.1078229
00000053,24 Hour City Job line,Recorded announcement of all available City of Pasadena jobs.,,,,(626) 744-4600,,,,,,,,,employment services,,
00000054,Community Education Center,Primarily noncredit programs onsite and in the community,,"3035 E Foothill Blvd, Pasadena, CA 91107",,(626) 585-3000,,,,,,www.pasadena.edu/CEC,,,classes,34.1507249,-118.0862689
00000055,Foothill Employment and Training Connection,Resources for job seekers,,"1207 E Green St, Pasadena, CA 91106",,(626) 796-5627,,,fetcinfo@foothilletc.org,,,,,,employment services,34.144833,-118.1255674
00000056,Ideal Youth,Six weeks of job training workshops and  eight weeks summer internship. Call for details.,,"83 E Orange Grove Blvd #2, Pasadena, CA 91103",,(626) 796-7164 ext 16,,,contact@idealyouth.org,,,,,,employment services,34.1580065,-118.1487688
00000057,Pasadena City College CalWORKs Program,"Offers tuition, books, and childcare assistance. Call for more information.",,"1570 E Colorado Blvd L-101, Pasadena, CA 91106",,(626) 585-7060,,,,,,www.pasadena.edu,,,"college,child care,financial aid",34.1439329,-118.119168
00000058,PUSD Regional Occupational Program (ROP),Career Technical Education Courses are offered. Call for more information.,,"351 S Hudson Ave #214, Pasadena, CA 91101",,(626) 795-6981 ext 549,,,,,,www.pusd.us,,,employment services,34.1397946,-118.1345051
00000059,Sources Career Development,Provides a monthly career development workshops,,"825 E Orange Grove Blvd, Pasadena, CA 91104",,(626) 240-4591,,,lprimm@unionstationhs.org,,,,,,employment services,34.1581873,-118.1334783
00000060,Employment Development Department,"Mock Interviews, Résumé Review and other various workshops",,"1207 E Green St, Pasadena, CA 91106",,(626) 304-7922,,,,,,,,,employment services,34.144833,-118.1255674
00000061,Foothill Vocational Opportunities,Job opportunities for individuals with disabilities or disadvantages,,"789 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 449-0218,,,,,,,,,"disabled services,employment services",34.1594097,-118.1510725
00000062,Los Angeles County Probation,"Probation Services, Job Opportunities",,"300 E Walnut St #200, Pasadena, CA 91101",,(626) 356-5281,,,,,,,,,employment services,34.1489916,-118.1435414
00000063,PUSD Regional Occupational Programs,Real-world job experience,,"351 S Hudson Ave, Pasadena, CA 91101",,(626) 793-8609,,,,,,,,,employment services,34.1397946,-118.1345051
00000064,The Pasadena City College CalWORKs Partnership,"Help meet the L.A. County GAIN education/ training requirements and the federal ""work activities"" requirement under the new welfare rules",,"1570 E Colorado Blvd, Pasadena, CA 91106",,(626) 585-7060,,,,,,,,,"college,employment services",34.1439329,-118.119168
00000065,Pasadena Community Job Center,Day laborer services,,"500 N Lake Ave, Pasadena, CA 91101",,(626) 440-0112,,,,,,,,,employment services,34.1546505,-118.1321673
00000066,Women At Work,Full service career and job resource center,,"2555 E Colorado Blvd #204, Pasadena, CA 91107",,(626) 796-6870,,,info@womenatwork.org,,,,,,employment services,34.1464374,-118.0978064
00000067,A Link N the Chain,Reintegration Services,,"290 E Elizabeth St, Pasadena, CA 91104",,(626) 644-7525,,,Andrewsjc1988@gmail.com,,,,,,substance abuse recovery,34.173247,-118.14467
00000068,ACTS Thrift Store,Reintegration Services,,"1382 Locust St, Pasadena, CA 91106",Dominique Franklin,(626) 201-3463,,,dfranklin@actsthrift.org,,,,,,reintegration,34.1502595,-118.1217132
00000069,AIDS Service Center,Reintegration Services,,"65 N Raymond Ave #240, Pasadena, CA 91103",Gabriel Solorio,(626) 441-8495 ext 13,,,G5@aidscc.org,,,,,,medical health,34.1469347,-118.1490601
00000070,Adult Rehab Center,Reintegration Services,,"960 E Walnut St, Pasadena, CA 91106",Diane,(626) 795-8075,,,Diane.stueck@usw.salvationarmy.org,,,,,,substance abuse recovery,34.149258,-118.130414
00000071,All Saints Church,Reintegration Services,,"132 N Euclid Ave, Pasadena, CA 91101",Juliana Serrano/Kim Brorby,(626) 405-0428,,,jserrano@allsaints-pas.org,sbrorby@sbcglobal.net,,,,,reintegration,34.1478962,-118.1425166
00000072,Ambassadors for Peace,Reintegration Services,,"404 E Washington Blvd, Pasadena, CA 91104",Yvette McDowell/Steven Trejo/Leo Hurtado,(626) 483-4151,(626) 827-7172,(626) 773-2703,L6152ww@att.net,,,,,,"substance abuse prevention,mental health,mentoring,reintegration",34.1685682,-118.1423209
00000073,Bread for the World,Reintegration Services,,"464 E Walnut St, Pasadena, CA 91101",David Gist,(626) 568-3233,,,dgist@bread.org,,,,,,free food,34.1492687,-118.141172
00000074,Center for Truth Ministries,Reintegration Services,,"1627 N Fair Oaks Ave, Pasadena, CA 91103",Henry Olivarez,(626) 627-8437,,,revhenryforcotm@yahoo.com,,,,,,reintegration,34.1737537,-118.1512113
00000075,Christ the Shepherd Lutheran Church,Reintegration Services,,"185 W Altadena Dr, Altadena, CA 91001",Marks Witte/Retta Robinson/William Korn,(626) 379-9985,(626) 296-1426,(626) 798-2754,Mark.witte2.0@gmail.com,office@christthesheperd.org,,,,,reintegration,34.1957442,-118.1508922
00000076,City of Pasadena Public Health Department Recovery Center (Public Health Department),Reintegration Services,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",Ann Scott/Christopher Chavez/Ty Martin,(626) 744-6159,(626) 744-6074,(626) 744-6097,ascott@cityofpasadena.net,cchavez@cityofpasadena.net,tfmarin@cityofpasadena.net,,,,substance abuse recovery,34.1777736,-118.1511928
00000077,Community Health Alliance of Pasadena (CHAP),Reintegration Services,,"455 W Montana St, Pasadena, CA 91103",Noemi Carareo,(626) 486-9729,,,ncarareo@chapcare.org,,,,,,"medical health,mental health,disability services",34.180928,-118.1604378
00000078,Community Services Section (Pasadena Police Dept),Reintegration Services,,"207 Garfield Ave, Pasadena, CA 91101",George Rittenhouse,(626) 744-4551,,,,,,,,,reintegration,34.1491349,-118.1448262
00000079,Day One,Reintegration Services,,"175 S Moreno Dr, Beverly Hills, CA 90212",Christy Zamani,(626) 229-9750,,,claudia@godayone.org,,,,,,"substance abuse prevention,community programs",34.0633527,-118.4136553
00000080,Department of Rehabilitaiton,Reintegration Services,,"150 S Los Robles Ave # 300, Pasadena, CA 91101",Diana Ling,(626) 304-8336,,,Diana.ling@dor.ca.gov,,,,,,"substance abuse recovery,reintegration",34.1433355,-118.1407219
00000081,Five Acres,Reintegration Services,,"760 Mountain View St, Altadena, CA 91001",Krystal Audoma,(323) 841-6853,,,kaudoma@fiveacres.org,,,,,,"foster care,counseling,social services",34.1915481,-118.1657363
00000082,Flintridge Center,Reintegration Services,,"236 W Mountain St #106, Pasadena, CA 91103",Daniel Torres/Chris Finney,(626) 449-0839 ext 109,(626) 449-0839 ext 110,,daniel@flintridge.org,chris@flintridge.org,,,,,"reintegration,mentoring,employment services,tutoring",34.1614061,-118.1576623
00000083,Foothill Family Service,Reintegration Services,,"118 S Oak Knoll Ave, Pasadena, CA 91101",,(626) 795-6907,,,,,,,,,"counseling,substance abuse recovery,mentoring",34.1438134,-118.1348036
00000084,Foothill Workforce Investment Board,Reintegration Services,,"1207 E Green St, Pasadena, CA 91106",Sarah Mendoza/Serafin/Garcia,(626) 796-5627,(626) 584-8383,,smendoza@foothilletc.org,sgarcia@foothilletc.org,,,,,"reintegration,employment services",34.144833,-118.1255674
00000085,Friends Outside in Los Angeles County,Reintegration Services,,"1207 E Green St, Pasadena, CA 91106",Monica Sims,(626) 584-8367,,,msims@friendsoutsidela.org,,,,,,reintegration,34.144833,-118.1255674
00000086,FVO Solutions,Reintegration Services,,"789 N Fair Oaks Ave, Pasadena, CA 91103",Michuan Flemy/Marcel Becker,(626) 449-0218,,,michauanf@foothillvoc.org,marcel@foothillvoc.org,,,,,employment services,34.1594097,-118.1510725
00000087,Grandview Foundation,Reintegration Services,,"1230 Marengo Ave, Pasadena, CA 91103",Dave Booth/Paul/Sheila Romero,(626) 797-3799,(626) 797-3799 ext 104,(626) 716-1414,sheila@grandviewfoundation.com,Dave.booth72@yahoo.com,,,,,"reintegration,substance abuse recovery",34.167027,-118.145753
00000088,Hallelojah House,Reintegration Services,,"1025 Garfield Ave, South Pasadena, CA 91030",Philip Galindo,(626) 394-2556,,,Revphilip54@gmail.com,,,,,,reintegration,34.1148319,-118.1417303
00000089,Hunting Hospital Community Outreach,Reintegration Services,,"100 E California Blvd, Pasadena, CA 91105",Kathy Eastwood (RN),(626) 397-2068,,,Kathleen.eastwood@huntingtonhospital.com,,,,,,"medical health,nutrition",34.1354747,-118.1483083
00000090,IBEW/ESSCO,Reintegration Services,,"2668 E Foothill Blvd, Pasadena, CA 91107",Tyler Lazarian,(626) 354-8474,,,ty@esscoelectric.com,,,,,,"reintegration,employment services",34.1491813,-118.0954472
00000091,Impact Drug and Alcohol Treatment Center,Reintegration Services,,"1680 N Fair Oaks Ave, Pasadena, CA 91103",William McLaughlin/Mark Skorich,(626) 798-0844,(626) 798-0884,,William@impacthouse.com,Markskorich23@gmail.com,,,,,"alcohol treatment,substance abuse recovery",34.1749284,-118.1502725
00000092,JVS,Reintegration Services,,"2555 E Colorado Blvd #200, Pasadena, CA 91107",Charles Braggs,(626) 584-5887,,,cbraggs@jvsla.org,,,,,,employment services,34.1464374,-118.0978064
00000093,Kingdom Works,Reintegration Services,,,Camelia Joseph,(626) 354-0436,,,pastorcamelio@aol.com,,,,,,reintegration,,
00000094,Lake Avenue Church,Reintegration Services,,"393 N Lake Ave, Pasadena, CA 91101",Mayra Macedo-Nolan/Claire Wiggins,(626) 844-4700,(626) 817-4559,,mayran@lakeave.org,clairew@lakeave.org,,,,,reintegration,34.1526294,-118.13292
00000095,Law Offices of Tarek Shawky,Reintegration Services,,"871 E Washington Blvd #205, Pasadena, CA 91104",Tarek Shawky,(323) 393-3301,,,tarekshawky@gmail.com,,,,,,legal services,34.1691423,-118.1325402
00000096,Learning Works Charter School,Reintegration Services,,"90 N Daisy Ave, Pasadena, CA 91107",Dominick Correy/Ann Burke,(626) 535-3259,,,dominick@learningworkscharter.com,,,,,,"tutoring,mentoring",34.147506,-118.0926214
00000097,Levon Kevorkian (Private Law Practice),Reintegration Services,,"35 E Union St, Pasadena #D, CA 91103",Levon Kevorkian,(866) 286-7605,,,levkeu@gmail.com,,,,,,legal services,34.1470248,-118.149682
00000098,Neighborhood Outreach Workers Program (N.O.W.),Reintegration Services,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",Rebecca Pratt,(626) 744-7306,,,Rpra-contractor@cityofpasadena.net,,,,,,after school programs,34.1635931,-118.1501538
00000099,Noble,Reintegration Services,,"207 Garfield Ave, Pasadena, CA 91101",Darryl Qualls,(626) 744-4533,,,dquall@cityofpasadena.net,,,,,,reintegration,34.1491349,-118.1448262
00000100,Options,Reintegration Services,,"2465 E Walnut St, Pasadena, CA 91107",Connie Aguilar,(626) 204-3526,,,Caguilar@optionscc.org,arivas@optionscc.org,,,,,reintegration,34.1485831,-118.0995133
00000101,Pacific Clinics,Reintegration Services,,"1020 S Arroyo Pkwy, Pasadena, CA 91105",Essence Barnes,(626) 786-6708,,,ebarnes@pacificclinics.org,,,,,,mental health,34.128338,-118.1468988
00000102,Pasadena Community Christian Fellowship,Reintegration Services,,"500 S Pasadena Ave, Pasadena, CA 91105",Henry Graham,(310) 429-5400,,,Ritejus1@aol.com,,,,,,free food,34.1372194,-118.1537681
00000103,Pasadena City College,Reintegration Services,,"3035 E Foothill Blvd, Pasadena, CA 91107",Theresa Reed/Anthony Smith,(626) 585-3037,,,txreed@pasadena.edu,,,,,,college,34.1507249,-118.0862689
00000104,Pasadena Federal Credit Union,Reintegration Services,,"1038 S Fair Oaks Ave, Pasadena, CA 91105",John Schaefer/Veronica R.,(626) 799-0882 ext 251,,,jschaefer@pcu.org,,,,,,financial aid,34.1282992,-118.149801
00000105,PATH People Assisting the homeless,Reintegration Services,,"340 N Madison Ave, Monrovia, CA 91016",Steve Fietcher/Keinesha J/J.Roberts,(213) 422-0380,,,Stephenf@epath.org,keineshaj@epth.org,johanr@epath.org,,,,housing,34.1568748,-118.0194509
00000106,Peace Over Violence,Reintegration Services,,"892 N Fair Oaks Ave, Pasadena, CA 91103",Jessie Corral/Claudia Sibaya/Imelda Talamantes/Sandy,(626) 584-6191,,,jessie@peaceoverviolence.org,claudias@peaceoverviolence.org,Sandy@peaceoverviolence.org,,,,"safe houses,abuse counseling,women's programs",34.1610795,-118.1504012
00000107,Probation/AB-109,Reintegration Services,,"300 E Walnut St #200, Pasadena, CA 91101",Leo Paredes/Lauro Mendoza,(626) 356-5281,(626) 356-5292,,Leopoldo.paredes@probation.lacounty.gov,Lauro.mendoza@probation.lacounty.gov,,,,,reintegration,34.1489916,-118.1435414
00000108,Quality Life Soberliving,Reintegration Services,,"814 Merrett Dr, Pasadena, CA 91104",Bill,(626) 644-5812,,,burstonw@yahoo.com,,,,,,substance abuse recovery,34.1604313,-118.1337089
00000109,Redemption Church,Reintegration Services,,"128 S Oak Knoll Ave, Pasadena, CA 91101",Kyle Sears,(626) 628-4414,,,kylesears@gmail.com,,,,,,reintegration,34.1436111,-118.1348173
00000110,Social Security Administration,Reintegration Services,,"104 N Mentor Ave, Pasadena, CA 91106",Eduardo Guevara,,,,Eduardo.guevara@ssa.gov,,,,,,financial aid,34.1476708,-118.1305245
00000111,Talk About Parenting,Reintegration Services,,P.O. Box 40547,Shirlee Smith,(626) 296-2777,,,talkaboutparenting@gmail.com,,,,,,reintegration,,
00000112,The Salvation Army,Reintegration Services,,"960 E Walnut St, Pasadena, CA 91106",Diana Stueck/John Rivera,(626) 795-8075,,,Diana.stueck@usw.salvationarmy.org,,,,,,reintegration,34.149258,-118.130414
00000113,Union Station Homeless Center (SRO),Reintegration Services,,"412 S Raymond Ave, Pasadena, CA 91105",Rafael Ventura,(626) 318-5062,,,rventura@unionstationhs.org,raffaelventura@sbcglobal.net,,,,,shelter,34.1386027,-118.1483688
00000114,USHS Sources,Reintegration Services,,"825 E Orange Grove Ave, Burbank, CA 91501",La Viva Prim,(626) 240-4540,,,lprimm@unionstationhs.org,,,,,,reintegration,34.1892731,-118.301669
00000115,"Vintage Rose, Battered Women’s Shelter Corp",Reintegration Services,,"1053 E Orange Grove Ave, Burbank, CA 91501",Rosie,(626) 722-3896,,,rosalinmarshall@yahoo.com,,,,,,safe houses,34.1923097,-118.2984592
00000116,Vocational Rehabilitation,Reintegration Services,,"150 S Los Robles Ave #300, Pasadena, CA 91101",Tiffany Chen,(626) 304-8335,,,tchen@dor.ca.gov,,,,,,employment services,34.1433355,-118.1407219
00000117,Youth Build,Reintegration Services,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",Delani Sins,(626) 437-3509,,,sherylturner@charter.net,,,,,,mentoring,34.1635931,-118.1501538
00000118,Youth Moving On,Reintegration Services,,"456 E Orange Grove Blvd #140, Pasadena, CA 91104",Jessica Petrass/Casswell Goodman,(626) 765-6010,(786) 488-8295,,jpetrass@hillsides.org,cgoodman@hillsides.org,,,,,mentoring,34.157588,-118.1411494
00000119,CalCPA,Financial planning,,"330 N Brand Blvd #710, Glendale, CA 91203",,(818) 246-4017,,,,,,,,,financial aid,34.1513595,-118.2546152
00000120,Social Security Administration,Applications for Social Security survivor’s benefits,,"104 N Mentor Ave, Pasadena, CA 91106",,(877) 255-1508,,,,,,www.socialsecurity.gov,,,financial aid,34.1476708,-118.1305245
00000121,Bill Moore Community Health Clinic/URDC,State licensed community clinic providing low cost primary health care services,,"1460 N Lake Ave #107, Pasadena, CA 91104",,(626) 398-3796,,,sarrivillaga@URDCHSC.org,,,,,,medical health,34.1713121,-118.1318722
00000122,Body and Soul Program,Nutrition education and physical activity program,,"404 E Washington Blvd, Pasadena, CA 91104",,(626) 794-2951,,,,,,www.pasadenachurch.com,,,medical health,34.1685682,-118.1423209
00000123,Community Health Alliance of Pasadena,Primary medical and dental care.,,"1855 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 398-6300,,,,,,www.chapcare.org,,,medical health,34.1775276,-118.1511579
