name,address,phone1,phone2,categories,lat,lon
"Arylis Music","569 Main Street North, Chippewa Falls, WI 54729",,818-555-4321,"funeral services",44.9209144,-91.38993349999998
"As On TV","2 Homestead Drive, Saugus, MA 01906",626-555-1234,,"housing help",42.4923732,-71.08551369999998
"Astrology et al","791 5th Street, Oxford, MS 38655",,818-555-4321,"medicare",34.37041749999999,-89.52459569999996
"Atiyeh International","881 Franklin Court, Greensboro, NC 27405",626-555-1234,,"shelters",36.1159434,-79.74729479999996
"Atlas Billiard Supplies","261 Manor Drive, Kingsport, TN 37660",,818-555-4321,"shelters",36.5419551,-82.591228
"Atlas Diamond Company","171 Bank Street, Jamaica, NY 11432",626-555-1234,,"housing help",40.7364591,-74.00659139999999
"ATS Total Sports","117 Chestnut Avenue, Huntsville, AL 35803",,818-555-4321,"funeral services",34.605898,-86.60661199999998
"Audace","811 Dogwood Drive, Arlington Heights, IL 60004",626-555-1234,,"funeral services",42.0848131,-87.92472049999998
"Auguste Reymond","320 Center Street, Lawrence Township, NJ 08648",,818-555-4321,"food stamps",39.3906655,-75.10202040000001
"Authentic Reproductions","898 Madison Street, Arlington Heights, IL 60004",626-555-1234,,"thrift stores",42.1775694,-87.95332359999998
"AutoBarn.com","562 Harrison Avenue, South El Monte, CA 91733",,818-555-4321,"medicare",34.0519548,-118.04673389999999
"Avitech Inc.","218 8th Street South, Lagrange, GA 30240",626-555-1234,,"food stamps",32.8767912,-85.18233409999999
"AwareToys","986 Fairway Drive, Mableton, GA 30126",,818-555-4321,"medicare",33.7847488,-84.56758150000002
"Baack's Florists","298 9th Street West, Blackwood, NJ 08012",626-555-1234,,"food stamps",39.8119882,-75.01308259999996
"Babs' Jamaican Fruit Cakes","361 Heritage Drive, Pikesville, MD 21208",,818-555-4321,"funeral services",39.37700239999999,-76.66548619999998
"BabyPhat","269 Division Street, Henderson, KY 42420",626-555-1234,,"employment",37.9773381,-87.56047330000001
"Baby's Best Designs","865 Sunset Drive, Kent, OH 44240",,818-555-4321,"medicare",41.1655327,-81.38640199999998
"Bad Planet","298 Franklin Street, Camas, WA 98607",626-555-1234,,"medicare",45.58658339999999,-122.40093890000003
"Bags & All","275 Brandywine Drive, Williamsburg, VA 23185",,818-555-4321,"employment",38.647831,-76.84633199999996
"Balazs","43 Beech Street, Starkville, MS 39759",626-555-1234,,"social security",33.4473383,-88.83169229999999
"Ballroom Connection","824 Fairview Avenue, Goodlettsville, TN 37072",,818-555-4321,"medicare",36.3231066,-86.71333019999997
"Ball's Out! Rugby","322 Garden Street, Cleveland, TN 37312",626-555-1234,,"financial aid",35.1239277,-84.85711070000002
"Ballyhoo","423 Oxford Court, Naples, FL 34116",,818-555-4321,"medicare",26.2007292,-81.73990830000002
"Balsa USA","24 Westminster Drive, Zionsville, IN 46077",626-555-1234,,"financial aid",39.95668,-86.32769009999998
"Banana Jack","594 5th Street East, Butte, MT 59701",,818-555-4321,"thrift stores",46.02758060000001,-112.54460970000002
"Bandwear.com","245 Willow Lane, Crofton, MD 21114",626-555-1234,,"financial aid",38.9934563,-76.68871489999998
"Bare Necessities","749 Sunset Avenue, Fayetteville, NC 28303",,818-555-4321,"funeral services",34.9461826,-79.07810689999997
"Barnes and Noble","130 Myrtle Street, Burbank, IL 60459",626-555-1234,,"thrift stores",34.1095804,-77.90195030000001
"Baron's Fun Wigs","544 Mulberry Street, Menasha, WI 54952",,818-555-4321,"medicare",44.300833,-88.463953
"Baseball Express","440 Fawn Court, Levittown, NY 11756",626-555-1234,,"employment",40.7409523,-73.54944990000001
"Baseball Wearhouse","188 Heritage Drive, Lanham, MD 20706",,818-555-4321,"funeral services",38.96851119999999,-76.86203269999999
"Basic Direct","899 3rd Avenue, Levittown, NY 11756",626-555-1234,,"housing help",40.681258,-73.45005700000002
"Basketpatterns.com","584 Somerset Drive, Chelsea, MA 02150",,818-555-4321,"employment",42.3701988,-70.99185649999998
"Bass Pro Shops","704 Brandywine Drive, Waukesha, WI 53186",626-555-1234,,"financial aid",43.0464073,-88.15483189999998
"Batteries Direct","107 Race Street, Banning, CA 92220",,818-555-4321,"financial aid",33.9255713,-116.87641029999997
"Batteries.com","207 Route 100, Thomasville, NC 27360",626-555-1234,,"thrift stores",35.8826369,-80.0819879
"Battery Bank","497 Madison Court, Mcallen, TX 78501",,818-555-4321,"funeral services",26.2975384,-98.3100475
"Battery Barn","833 Spring Street, Hackensack, NJ 07601",626-555-1234,,"social security",40.877218,-74.0059253
"Battery Source","115 Hickory Lane, Clarksville, TN 37040",,818-555-4321,"housing help",36.5143784,-87.36505599999998
"Battery Wholesale Distributors","975 Fulton Street, Naples, FL 34116",626-555-1234,,"financial aid",26.1916102,-81.7021049
"BDC Products","387 King Street, Wausau, WI 54401",,818-555-4321,"thrift stores",44.9219969,-89.66864450000003
"Bear St.","109 Locust Street, Cambridge, MA 02138",626-555-1234,,"thrift stores",42.37801510000001,-71.15211060000001
"Beauty Caf�","732 3rd Street, Park Ridge, IL 60068",,818-555-4321,"housing help",42.0105072,-87.83511520000002
"Beauty Naturally","587 Elizabeth Street, Havertown, PA 19083",626-555-1234,,"food stamps",39.9763656,-75.31497960000002
"Beauty of a Site","363 Redwood Drive, Ottawa, IL 61350",,818-555-4321,"housing help",45.3822363,-75.76958159999998
"Beautyhabit","39 Hanover Court, Charlottesville, VA 22901",626-555-1234,,"medicare",38.0270884,-78.5011149
"BeautyTrends","471 Garfield Avenue, Elyria, OH 44035",,818-555-4321,"shelters",41.3784678,-82.11261009999998
"Beckler's Carpet Outlet","789 Sunset Avenue, Bolingbrook, IL 60440",626-555-1234,,"funeral services",41.7001813,-88.0588975
"Belly Basics","769 Ivy Lane, Williamstown, NJ 08094",,818-555-4321,"funeral services",39.6544185,-74.98617079999997
"Ben & Jerry's Homemade","9 13th Street, Snellville, GA 30039",626-555-1234,,"shelters",33.7972391,-84.0273168
"Berkshire Biological","980 East Avenue, Chapel Hill, NC 27516",,818-555-4321,"social security",35.8770882,-79.07365700000003
"Bermo Imports","548 Virginia Street, Zeeland, MI 49464",626-555-1234,,"thrift stores",42.8125246,-86.01865099999998
"Bernard Enterprises","510 East Avenue, Tualatin, OR 97062",,818-555-4321,"social security",45.4249571,-122.66824209999999
"Berry's Barbell & Fitness Equipment Company","596 Carriage Drive, Glenside, PA 19038",626-555-1234,,"funeral services",39.79517269999999,-75.518215
"Best Checks","520 Country Lane, Wantagh, NY 11793",,818-555-4321,"food stamps",40.6837121,-73.51012579999997
"Best of New England","784 6th Street West, Fishers, IN 46037",626-555-1234,,"shelters",40.0350713,-86.01598039999999
"Best Value Golf Products","750 2nd Street West, Clermont, FL 34711",,818-555-4321,"thrift stores",28.5522805,-81.75808640000002
"Best Wishes","463 Cherry Lane, Clarkston, MI 48348",626-555-1234,,"financial aid",42.7962819,-83.3638603
"BestBuy.com","644 Pine Street, Omaha, NE 68107",,818-555-4321,"housing help",41.2437778,-95.92543160000002
"BestBuyPoolSupply","318 Adams Avenue, Merrimack, NH 03054",626-555-1234,,"thrift stores",42.8532232,-71.50205389999996
"Betty's Christmas House","92 Amherst Street, Kokomo, IN 46901",,818-555-4321,"food stamps",42.922692,-78.757656
"BeveragesDirect.com","133 Country Club Road, Dacula, GA 30019",626-555-1234,,"financial aid",33.9887165,-83.89795730000003
"Bexley","133 Dogwood Lane, Fairmont, WV 26554",,818-555-4321,"financial aid",39.3861889,-80.168387
"Beyond Moseying","917 Clinton Street, Stow, OH 44224",626-555-1234,,"housing help",41.242336,-81.4429187
"bH California","26 Mill Street, Ballston Spa, NY 12020",,818-555-4321,"financial aid",42.9087779,-73.87586540000001
"Big Apple Herpetological","120 Prospect Street, Fond Du Lac, WI 54935",626-555-1234,,"food stamps",43.7996201,-88.4768325
"Big Black Boots","39 Crescent Street, Westwood, NJ 07675",,818-555-4321,"employment",40.97463500000001,-73.980257
"Big Toe Sports","474 Magnolia Avenue, Crystal Lake, IL 60014",626-555-1234,,"social security",42.1997339,-88.35578299999997
"BigFitness.net","759 Sunset Avenue, Downingtown, PA 19335",,818-555-4321,"financial aid",40.0155103,-75.69178390000002
"Bikini Shop","870 Cambridge Road, Easley, SC 29640",626-555-1234,,"social security",34.7610669,-82.5860702
"Bilbo Innovations","195 Depot Street, Ringgold, GA 30736",,818-555-4321,"shelters",34.9151984,-85.10794670000001
"Binoculars.com","503 Essex Court, Gwynn Oak, MD 21207",,818-555-4321,"thrift stores",39.3355062,-76.73469510000001
"Biometrics","380 10th Street, Westbury, NY 11590",626-555-1234,,"financial aid",40.7298452,-73.63475729999999
"Bio-T Herbals","125 Hillcrest Avenue, Parlin, NJ 08859",,818-555-4321,"thrift stores",40.51580750000001,-74.40397209999998
"Birkenstock Central","73 Canterbury Road, Franklin Square, NY 11010",626-555-1234,,"employment",40.6808816,-73.63370150000003
"Birthday Chocolates","185 Court Street, Tacoma, WA 98444",,818-555-4321,"financial aid",47.088157,-122.393193
"Black Jungle Terrarium Supply","596 8th Street South, Crofton, MD 21114",626-555-1234,,"shelters",42.734264,-97.50539649999996
"Blades Board & Skate","902 Penn Street, Tallahassee, FL 32303",,818-555-4321,"medicare",30.5399522,-84.70707759999999
"Blind Alley","312 Canterbury Road, Lake Zurich, IL 60047",626-555-1234,,"financial aid",42.2172583,-88.03104619999999
"Blindsexpress","344 8th Street, Arlington Heights, IL 60004",,818-555-4321,"shelters",42.0243036,-87.9518582
"Blockbuster Bowling","894 Cedar Street, Morganton, NC 28655",626-555-1234,,"social security",35.6848237,-81.69799929999999
"Blood's Hammock Groves","812 Route 17, Fort Washington, MD 20744",,818-555-4321,"financial aid",38.7073379,-77.02303130000001
"Bloomingdales","512 Lake Street, Mokena, IL 60448",626-555-1234,,"financial aid",41.5051825,-87.9472624
"Blue Canoe Bodywear","508 Atlantic Avenue, Clifton Park, NY 12065",,818-555-4321,"financial aid",42.844668,-73.81838040000002
"Blue Gauntlet Fencing","149 Ashley Court, Endicott, NY 13760",626-555-1234,,"employment",42.2302402,-76.04741619999999
"Blue Water Hunter","93 York Street, Erie, PA 16506",,818-555-4321,"financial aid",41.9190809,-79.65279929999997
"Bluefly","292 Canterbury Drive, Coventry, RI 02816",626-555-1234,,"shelters",41.6926447,-81.2735758
"Bodies By Design","566 Prospect Street, South Richmond Hill, NY 11419",,818-555-4321,"housing help",40.638463,-74.1028627
"Body Trends","180 Monroe Drive, Nashville, TN 37205",626-555-1234,,"food stamps",36.1787693,-86.78422189999998
"Bohlender","44 Broad Street, Avon, IN 46123",,818-555-4321,"financial aid",42.1024535,-71.02012760000002
"Bone Clones","654 Edgewood Road, Brandon, FL 33510",626-555-1234,,"shelters",28.0163939,-81.94400949999999
"Bonsai Boy of New York","906 Clay Street, Muskegon, MI 49441",,818-555-4321,"food stamps",43.2296877,-86.26041409999999
"Boot Barn","789 9th Street, Ringgold, GA 30736",626-555-1234,,"medicare",40.8605454,-99.97712919999998
"Boston Paintball Supply","417 Green Street, Lorton, VA 22079",,818-555-4321,"thrift stores",38.7068116,-77.26157330000001
"Bow Tie Club","587 Route 70, Chesapeake, VA 23320",626-555-1234,,"shelters",36.7578013,-76.21314740000003
"Bowl Mill","44 Spring Street, Coatesville, PA 19320",,818-555-4321,"food stamps",40.0187972,-75.79518129999997
"Boyle Meat Company","395 Franklin Street, State College, PA 16801",626-555-1234,,"thrift stores",40.7922968,-77.87631520000002
"Breck's","538 Liberty Street, San Pablo, CA 94806",,818-555-4321,"funeral services",37.9221011,-122.3129103
"Brent Jessee Recording","667 Linden Street, Zanesville, OH 43701",626-555-1234,,"funeral services",39.9443883,-82.01241270000003
"Brite Ties","240 Orchard Lane, Hamburg, NY 14075",,818-555-4321,"housing help",42.74613249999999,-78.90010689999997
"British Delights","404 Ridge Road, Mc Lean, VA 22101",626-555-1234,,"medicare",38.9548172,-77.16884519999996
"Buckle","434 Main Street West, Atlanta, GA 30303",,818-555-4321,"funeral services",33.6890226,-84.4376148
"Buffalo Gal","56 Heritage Drive, Winter Park, FL 32792",626-555-1234,,"shelters",28.6062232,-81.30683569999997
"Bullfrog Light Co.","214 8th Street, Palm City, FL 34990",,818-555-4321,"housing help",27.1606533,-80.24998800000003
"Burlington Coat Factory","15 Elmwood Avenue, Granger, IN 46530",626-555-1234,,"thrift stores",42.9265364,-78.87563239999997
"Burns-Milwaukee","843 Route 29, Henderson, KY 42420",,818-555-4321,"financial aid",37.8039941,-87.5198011
"Burpco","432 4th Street North, Chesterfield, VA 23832",626-555-1234,,"funeral services",37.3051426,-77.29125829999998
"Button Emporium","337 Chestnut Street, Menomonee Falls, WI 53051",,818-555-4321,"housing help",43.1101373,-88.12604039999997
"BuyCostumes.com","3 Cedar Avenue, Wayne, NJ 07470",626-555-1234,,"shelters",40.935231,-74.25970319999999
"Caboose Hobbies","636 Jefferson Street, New Orleans, LA 70115",,818-555-4321,"shelters",29.918329,-90.11602199999999
"Caboose","428 Riverside Drive, Dayton, OH 45420",626-555-1234,,"medicare",39.7698571,-84.19113519999996
"Cady's Grove","300 Briarwood Drive, Bay City, MI 48706",,818-555-4321,"medicare",43.6029719,-84.12006769999999
"Calphalon","671 Washington Avenue, Wisconsin Rapids, WI 54494",626-555-1234,,"funeral services",44.3946226,-89.81693910000001
"Camera World Of Oregon","478 Maple Avenue, Muscatine, IA 52761",,818-555-4321,"employment",41.433575,-91.05191839999998
"Campmor","236 Dogwood Lane, Grove City, OH 43123",626-555-1234,,"employment",39.8892995,-83.10987
"Canada Candy Connection","520 Penn Street, Twin Falls, ID 83301",,818-555-4321,"social security",42.3986045,-114.56135069999999
"Candy Depot","367 Oak Street, Lilburn, GA 30047",626-555-1234,,"employment",33.8919841,-84.14317749999998
"Candy's Apples","652 Sherwood Drive, Voorhees, NJ 08043",,818-555-4321,"housing help",39.9835779,-74.99449909999998
"Capsized","850 Prospect Avenue, Elizabeth City, NC 27909",626-555-1234,,"thrift stores",36.2946008,-76.2510461
"Capulin Coffee","584 Union Street, Eastlake, OH 44095",,818-555-4321,"financial aid",41.6381677,-81.40460659999997
"Carberry International Sports Inc.","595 East Avenue, Sanford, NC 27330",626-555-1234,,"social security",35.7116599,-79.1785031
"Carden Aircraft","426 Pheasant Run, Muskegon, MI 49441",,818-555-4321,"food stamps",43.21238779999999,-86.31739199999998
"Carefree Uniforms Canada","445 Madison Avenue, Pittsfield, MA 01201",626-555-1234,,"food stamps",42.45725059999999,-73.25537020000002
"Carl's Electronics","246 3rd Street West, Green Bay, WI 54302",,818-555-4321,"housing help",44.5092076,-88.02526239999997
"Carmanah Research Ltd.","760 North Avenue, Selden, NY 11784",626-555-1234,,"employment",40.85154199999999,-73.05994350000003
"Caroline B","743 Cooper Street, Orange, NJ 07050",,818-555-4321,"financial aid",40.8384811,-74.20187039999996
"Cascade","199 6th Avenue, Brainerd, MN 56401",626-555-1234,,"financial aid",46.3568729,-94.20066199999997
"Cascadilla Press","442 Henry Street, Chippewa Falls, WI 54729",,818-555-4321,"employment",44.9369054,-91.39293479999998
"Cassette House","859 Myrtle Avenue, Niceville, FL 32578",626-555-1234,,"financial aid",30.5168639,-86.48217199999999
"Catalina Technologies","570 11th Street, Evans, GA 30809",,818-555-4321,"financial aid",34.2277166,-84.4208941
"Catherines","337 2nd Avenue, Lafayette, IN 47905",626-555-1234,,"medicare",40.415301,-86.89548790000003
"Cats Pajamas","517 Circle Drive, Goldsboro, NC 27530",,818-555-4321,"medicare",35.4572138,-77.84877360000002
"Caviar Assouline","266 Manor Drive, East Meadow, NY 11554",626-555-1234,,"financial aid",40.7209596,-73.54821400000003
"Caviar Direct","663 Cleveland Street, Easley, SC 29640",,818-555-4321,"thrift stores",34.8368983,-82.59058749999997
"Cayne's","731 Front Street North, Panama City, FL 32404",626-555-1234,,"employment",30.11842499999999,-85.58809429999997
"Celestial Seasonings","84 Woodland Drive, Wethersfield, CT 06109",,818-555-4321,"financial aid",41.7119144,-72.65701050000001
"Chamber of Horrors","890 Union Street, Gastonia, NC 28052",626-555-1234,,"food stamps",35.2526217,-81.176558
"Charm Woven Labels Inc.","105 Mill Road, Dublin, GA 31021",,818-555-4321,"employment",32.5553418,-82.9960357
"Check Crafters","266 Brown Street, Copperas Cove, TX 76522",626-555-1234,,"employment",31.1086052,-97.90976219999999
"Check Gallery","968 George Street, Burbank, IL 60459",,818-555-4321,"funeral services",37.6607328,-122.09119570000001
"Checks In The Mail","304 3rd Street East, Southgate, MI 48195",626-555-1234,,"shelters",42.216467,-83.22596069999997
"Checks Unlimited","895 Aspen Drive, Blackwood, NJ 08012",,818-555-4321,"shelters",39.8230524,-75.12985309999999
"Chesapeake Bay Gourmet","509 Park Avenue, Bayside, NY 11361",626-555-1234,,"housing help",40.7292205,-73.80911019999996
"Children's Wear Digest","58 Elm Avenue, Pleasanton, CA 94566",,818-555-4321,"thrift stores",37.6707763,-121.88758810000002
"ChockCatalog.com","703 Main Street South, Englishtown, NJ 07726",626-555-1234,,"thrift stores",40.2813273,-74.33112059999996
"Chris B's Music","181 Grove Street, Mason City, IA 50401",,818-555-4321,"social security",43.2418941,-93.12075379999999
"Christel","964 8th Avenue, Naugatuck, CT 06770",626-555-1234,,"financial aid",41.4910157,-73.05233399999997
"Christian Scott of Scotland","798 Strawberry Lane, Chaska, MN 55318",,818-555-4321,"financial aid",44.7893446,-93.60183889999996
"Christmas Dove","27 Cambridge Road, Lutherville Timonium, MD 21093",626-555-1234,,"food stamps",39.4452108,-76.65282250000001
"Christmas Factory","721 Spring Street, West Haven, CT 06516",,818-555-4321,"housing help",41.2744568,-72.97326399999997
"Christmas Forest","582 Grove Avenue, Goldsboro, NC 27530",626-555-1234,,"funeral services",35.398115,-77.90870569999998
"Christmas Loft","117 Grant Avenue, Dover, NH 03820",,818-555-4321,"shelters",43.2992594,-70.97029309999999
"Christo Gift & Toy","396 Devon Court, Torrington, CT 06790",626-555-1234,,"food stamps",41.5149565,-73.14180899999997
"Christopher & Banks","86 Vine Street, Maumee, OH 43537",,818-555-4321,"food stamps",41.5628294,-83.65382439999996
"Circuit City","361 Wood Street, Portage, IN 46368",626-555-1234,,"shelters",41.5635068,-87.19465650000001
